Dimensio dades =~ 4768.75 Mbytes
Lines:195, Mod:40
[078]start=15210, end=15405
[009]start=1755, end=1950
[001]start=195, end=390
[099]start=19305, end=19500
[121]start=23595, end=23790
[038]start=7410, end=7605
[077]start=15015, end=15210
[036]start=7020, end=7215
[100]start=19500, end=19695
[109]start=21255, end=21450
[082]start=15990, end=16185
[060]start=11700, end=11895
[120]start=23400, end=23595
[108]start=21060, end=21255
[034]start=6630, end=6825
[043]start=8385, end=8580
[039]start=7605, end=7800
[003]start=585, end=780
[013]start=2535, end=2730
[055]start=10725, end=10920
[004]start=780, end=975
[063]start=12285, end=12480
[105]start=20475, end=20670
[005]start=975, end=1170
[033]start=6435, end=6630
[044]start=8580, end=8775
[029]start=5655, end=5850
[047]start=9165, end=9360
[071]start=13845, end=14040
[117]start=22815, end=23010
[023]start=4485, end=4680
[042]start=8190, end=8385
[000]start=0, end=195
[049]start=9555, end=9750
[101]start=19695, end=19890
[011]start=2145, end=2340
[017]start=3315, end=3510
[051]start=9945, end=10140
[086]start=16770, end=16965
[041]start=7995, end=8190
[030]start=5850, end=6045
[053]start=10335, end=10530
[093]start=18135, end=18330
[028]start=5460, end=5655
[019]start=3705, end=3900
[010]start=1950, end=2145
[059]start=11505, end=11700
[081]start=15795, end=15990
[068]start=13260, end=13455
[056]start=10920, end=11115
[026]start=5070, end=5265
[050]start=9750, end=9945
[006]start=1170, end=1365
[066]start=12870, end=13065
[061]start=11895, end=12090
[027]start=5265, end=5460
[020]start=3900, end=4095
[103]start=20085, end=20280
[096]start=18720, end=18915
[016]start=3120, end=3315
[073]start=14235, end=14430
[087]start=16965, end=17160
[037]start=7215, end=7410
[025]start=4875, end=5070
[124]start=24180, end=24375
[107]start=20865, end=21060
[031]start=6045, end=6240
[062]start=12090, end=12285
[122]start=23790, end=23985
[048]start=9360, end=9555
[035]start=6825, end=7020
[012]start=2340, end=2535
[008]start=1560, end=1755
[045]start=8775, end=8970
[119]start=23205, end=23400
[094]start=18330, end=18525
[125]start=24375, end=24570
[118]start=23010, end=23205
[098]start=19110, end=19305
[116]start=22620, end=22815
[054]start=10530, end=10725
[114]start=22230, end=22425
[040]start=7800, end=7995
[022]start=4290, end=4485
[065]start=12675, end=12870
[075]start=14625, end=14820
[015]start=2925, end=3120
[024]start=4680, end=4875
[076]start=14820, end=15015
[007]start=1365, end=1560
[106]start=20670, end=20865
[113]start=22035, end=22230
[091]start=17745, end=17940
[002]start=390, end=585
[021]start=4095, end=4290
[090]start=17550, end=17745
[111]start=21645, end=21840
[126]start=24570, end=24765
[115]start=22425, end=22620
[097]start=18915, end=19110
[083]start=16185, end=16380
[057]start=11115, end=11310
[046]start=8970, end=9165
[085]start=16575, end=16770
[058]start=11310, end=11505
[080]start=15600, end=15795
[032]start=6240, end=6435
[079]start=15405, end=15600
[052]start=10140, end=10335
[110]start=21450, end=21645
[089]start=17355, end=17550
[088]start=17160, end=17355
[069]start=13455, end=13650
[102]start=19890, end=20085
[064]start=12480, end=12675
[072]start=14040, end=14235
[095]start=18525, end=18720
[014]start=2730, end=2925
[067]start=13065, end=13260
[084]start=16380, end=16575
[070]start=13650, end=13845
[018]start=3510, end=3705
[074]start=14430, end=14625
[104]start=20280, end=20475
[092]start=17940, end=18135
[127]start=24765, end=24960
[112]start=21840, end=22035
[123]start=23985, end=24180
Suma elements de D: 40562635143 
